name,latitude,longitude
abuc1,-10.48284000161554,-67.07037799917336
abuc2,-10.28729799974037,-67.07577000007602
abucc,-10.46657400137342,-67.21192700029695
abuge,-10.46333899988018,-67.2094150007805
abung,-10.41260199819366,-67.29513700037768
abucq,-10.4284909998873,-67.1137099972466
abunc,-10.306942,-67.220174
abunq,-10.30685900077723,-67.21787199995943
abuno,-9.979387000098159,-66.73494599878383
abuov,-10.07957900087295,-66.86946699952472
acdc3,-10.12735399971775,-67.03417500004319
acdc4,-10.075528,-67.553878
acdc5,-10.002136,-67.259896
acdo2,-10.663558,-67.714738
acdoc,-9.855331000000,-67.232337000000
acds2,-9.758053000000,-67.194505000000
acds3,-9.698118000000,-67.213014000000
acds4,-10.07363499985174,-67.32063899965871
acds5,-9.784853000000,-67.221147000000
acgeo,-10.097803,-67.658794
acov2,-9.87311,-67.389561
acpa2,-9.963776002002955,-67.49771700114614
acrc1,-10.271551,-67.696563
acrc11,-10.25994999956341,-67.69857999853494
acrc12,-9.884468999999999,-67.380267
acrc13,-10.30202,-67.694411
acrc14,-10.413076,-67.726635
acrc15,-10.29644521279361,-67.64987492251245
acrc16,-10.096787,-67.658742
acrc17,-10.42756500135895,-67.69329700008628
acrc18,-10.001127,-68.011979
acrc19,-9.978964,-67.67353900000001
acrc2,-10.361794,-67.68871799999999
acrc20,-10.262033,-67.715701
acrc21,-10.255579,-67.72246800000001
acrc22,-10.243592,-67.66603499999999
acrc23,-10.38734200001405,-67.52169300000047
acrc24,-10.22371900032644,-67.46228000132531
acrc25,-10.207854,-67.654641
acrc26,-10.058146,-67.617626
acrc27,-10.029028,-67.727625
acrc28,-10.071040000000,-67.546279000000
acrc29,-9.997834362643907,-67.09440938105892
acrc3,-10.30239000057191,-67.69381500032566
acrc30,-9.985506000000001,-67.498498
acrc31,-9.800918000000,-67.213634000000
acrc32,-10.363203,-67.601046
acrc33,-9.854835,-67.271459
acrc34,-10.16314400018573,-67.2728370000452
acrc35,-10.17793399988917,-66.98829900028028
acrc36,-10.16916899978445,-67.98849300083231
acrc37,-10.515306000000,-67.833300000000
acrc38,-9.946874998718378,-67.59935400111628
acrc39,-9.950389000766275,-67.53879200089378
acrc4,-10.28442034113382,-67.63385465571602
acrc40,-10.66136806390457,-67.71444184605569
acrc41,-10.47091599981784,-67.93825599958005
acrc42,-10.495959000000,-67.827351000000
acrc43,-10.670870000000,-67.729956000000
